parent_opeid,opeid,state,school_name,loc_name,addr_verif,lat,lon
576300,576300,GA,CENTRAL GEORGIA TECHNICAL COLLEGE,CENTRAL GEORGIA TECHNICAL COLLEGE - MAIN CAMPUS,"80 Cohen Walker Drive, Warner Robins, GA 31088",32.543615,-83.6693753
576300,576303,GA,CENTRAL GEORGIA TECHNICAL COLLEGE,CENTRAL GEORGIA TECHNICAL COLLEGE - PUTNAM COUNTY,"580 James Marshall Bypass, Eatonton, GA 31024",33.3445088,-83.3948768
576300,576308,GA,CENTRAL GEORGIA TECHNICAL COLLEGE,CENTRAL GEORGIA TECHNICAL COLLEGE - AEROSPACE FACILITY 2,"199 East Drive, Macon, GA 31216",32.6955602,-83.6403612
576300,576305,GA,CENTRAL GEORGIA TECHNICAL COLLEGE,CENTRAL GEORGIA TECHNICAL COLLEGE - MACON,"3300 Macon Tech Drive, Macon, GA 31206",32.8097169,-83.6929262
576300,576301,GA,CENTRAL GEORGIA TECHNICAL COLLEGE,CENTRAL GEORGIA TECHNICAL COLLEGE - MILLEDGEVILLE,"54 Highway 22 West, Milledgeville, GA 31061",33.093673,-83.2716993
616500,616500,CA,LOS ANGELES COUNTY COLLEGE OF NURSING AND ALLIED HEALTH,LOS ANGELES COUNTY COLLEGE OF NURSING AND ALLIED HEALTH,"1237 North Mission Road, Los Angeles, CA 90033",34.0626488,-118.2118516
665600,665610,IL,COLLEGE OF DU PAGE,COLLEGE OF DU PAGE - ADDISON CENTER,"301 South Swift Road, Addison, IL 60101",41.9251467,-88.0401295
665600,665607,IL,COLLEGE OF DU PAGE,COLLEGE OF DU PAGE - NAPERVILLE CENTER,"1223 Rickert Drive, Naperville, IL 60540",41.7492172,-88.1737283
665600,665600,IL,COLLEGE OF DU PAGE,COLLEGE OF DU PAGE - MAIN CAMPUS,"425 Fawell Boulevard, Glen Ellyn, IL 60137",41.8414336,-88.0730896
665600,665608,IL,COLLEGE OF DU PAGE,COLLEGE OF DU PAGE - WESTMONT CENTER,"650 Pasquinelli Drive, Westmont, IL 60559",41.8126252,-87.9523959
665600,665611,IL,COLLEGE OF DU PAGE,COLLEGE OF DU PAGE - CAROL STREAM CENTER,"500 North Kuhn Road, Carol Stream, IL 60188",41.916205,-88.1409449
666100,666100,TX,ANGELINA COLLEGE,ANGELINA COLLEGE,"3500 South First Street, Lufkin, TX 75902",31.2871142,-94.7318131
672000,672000,CA,COLLEGE OF ALAMEDA,COLLEGE OF ALAMEDA,"555 Ralph Appezzato Memorial Pky, Alameda, CA 94501",37.7808815,-122.2793039
675000,675008,FL,VALENCIA COLLEGE,VALENCIA COLLEGE - DOWNTOWN CAMPUS,"500 W Livingston St, Orlando, FL 32801",28.5465476,-81.3855646
675000,675003,FL,VALENCIA COLLEGE,VALENCIA COLLEGE - WINTER PARK CAMPUS,"850 West Morse Boulevard, Winter Park, FL 327890000",28.5973446,-81.3606826
675000,675001,FL,VALENCIA COLLEGE,VALENCIA COLLEGE - EAST CAMPUS,"701 N Econlockhatchee Trl, Orlando, FL 32825",28.5554171,-81.2508077
675000,675002,FL,VALENCIA COLLEGE,VALENCIA COLLEGE - OSCEOLA CAMPUS,"1800 Denn John Ln, Kissimmee, FL 34744",28.3058751,-81.3808801
675000,675007,FL,VALENCIA COLLEGE,VALENCIA COLLEGE - POINCIANA CAMPUS,"3255 Pleasant Hill Rd, Kissimmee, FL 34746",28.200212,-81.4386283
675000,675000,FL,VALENCIA COLLEGE,VALENCIA COLLEGE - WEST CAMPUS,"1800 South Kirkman Road, Orlando, FL 328023028",28.5210228,-81.4656363
675000,675005,FL,VALENCIA COLLEGE,VALENCIA COLLEGE - SCHOOL OF PUBLIC SAFETY,"8600 Valencia College Lane, Orlando, FL 328250000",28.5511827,-81.269009
675000,675006,FL,VALENCIA COLLEGE,VALENCIA COLLEGE - LAKE NONA CAMPUS,"12350 Narcoossee Rd, Orlando, FL 32832",28.3848763,-81.2456879
675300,675305,IL,ILLINOIS CENTRAL COLLEGE,ILLINOIS CENTRAL COLLEGE - PEKIN CAMPUS,"225 Hanna Drive, Pekin, IL 61554",40.5459837,-89.6578868
